"Entity","NIF","Incorporation (t0)","Date of first intervention (t1)","Maximum Reported Investment (in t2)","Total FINOVA","N. Investors FINOVA","Total Increase in SC from 1st intervention (t1)","SC Final Intervention (in t2)","Total Increase SC (Inv)","NACE","Company not based in PT","Exit","Securities issued","Amount","Issuance date","Share Classes","N. Special Share Classes","Share nominal value","Number of shares","Percentage of special class shares","N. Investors (t2)","N. Investors (t2) Funds e Management Firms","N. Investors (t2) Other","Investors 1","Investors 2","Investors 3","Investors 4","Investors 5","Investors 6","Investors 7","Investors 8","Investors 9","Investors 10","Investors 11","Investors 12","Investors 13","Investors 14","Investors 15","Investors 16","Investors 17","Investors 18","Investors 19","Investors 20","Investors 21"
"COLLAB - SOLUCOES INFORMATICAS DE COMUNICACAO E COLABORACAO, S.A.","503476749","2006","2013","","0.00E+00","0.00E+00","1.13E+04","6.13E+04","1.13E+04","J - Information and communication","","","no records","0.00E+00","0","N","0.00E+00","1.00E+00","6.13E+04","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital","","","","","","","","","","","","","","","","","","","",""
"RADICAL INNOVATION, LDA","510693792","2013","2013","1.00E+06","1.00E+06","1.00E+00","1.00E+04","1.00E+04","8.00E+03","N - Administrative and support service activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"BRIGHT INNOVATION, LDA","510343856","2012","2012","1.50E+06","1.50E+06","1.00E+00","2.50E+04","2.50E+04","2.25E+04","N - Administrative and support service activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"POWER DATA, LDA","510731651","2013","2013","2.50E+05","2.50E+05","1.00E+00","1.00E+04","1.00E+04","8.00E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","2.00E+00","2.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","FCR Novabase Capital","","","","","","","","","","","","","","","","","","",""
"POWERGRID, LDA","509766358","2011","2011","2.45E+06","2.45E+06","1.00E+00","4.50E+05","4.50E+05","4.00E+05","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"SMARTGEO, SOLUTIONS, LDA","510465978","2012","2013","1.00E+05","1.00E+05","1.00E+00","5.00E+03","5.00E+03","4.50E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"CITY PULSE, LDA","513136444","2014","2014","2.50E+06","2.50E+06","1.00E+00","1.00E+05","1.00E+05","9.00E+04","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"LIVIAN TECHNOLOGIES, LDA","513231412","2014","2014","2.50E+06","2.50E+06","1.00E+00","1.00E+04","1.00E+04","8.00E+03","J - Information and communication","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"DTV RESEARCH, UNIPESSOAL LDA","510302262","2012","2012","2.50E+06","2.50E+06","1.00E+00","2.00E+05","2.00E+05","1.90E+05","J - Information and communication","","Sale, 2014","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","","","","","","","","","","","","","","","","","","","",""
"WIZDEE-SISTEMAS DE GESTAO DE CONHECIMENTO, S.A.","508979366","2009","2014","7.60E+05","2.60E+05","1.00E+00","1.51E+05","1.56E+05","9.45E+03","J - Information and communication","","","no records","0.00E+00","0","Y","6.24E+06","1.00E-02","1.56E+07","4.00E-01","2.00E+00","2.00E+00","0.00E+00","FCR Novabase Capital Inovacao e Internacionalizacao","FUNDO DE CAPITAL DE RISCO PORTUGAL VENTURES INTERNACIONALIZACAO","","","","","","","","","","","","","","","","","","",""
"FEEDZAI - CONSULTADORIA E INOVACAO TECNOLOGICA, S.A.","508771862","2008","2011","4.46E+06","4.46E+06","3.00E+00","9.99E+04","1.51E+05","9.99E+04","J - Information and communication","DE, USA","","Bonds","1.05E+06","02/07/2015","Y","9.64E+06","1.00E-02","1.51E+07","6.39E-01","5.00E+00","4.00E+00","1.00E+00","ESV inovacao & internacionalizacao","ESV III","FCR Novabase Capital","EDP Ventures","FCR Revitalizar Centro","","","","","","","","","","","","","","","",""
"FEEDZAI, INC.","5249785","2012","2013","1.49E+07","0.00E+00","0.00E+00","","","","Foreign Company","DE, USA","2015, EDP, Novabase","no records","0.00E+00","0","US C-corp","0.00E+00","US C-corp","0.00E+00","0.00E+00","5.00E+00","1.00E+00","4.00E+00","Data Collective","Sapphire Ventures","Oak HC/FT","Capital One Growth Ventures","Es Ventures","","","","","","","","","","","","","","","",""
"STEMMATTERS - BIOTECNOLOGIA E MEDICINA REGENERATIVA S.A.","508206383","2007","2011","2.44E+05","2.44E+05","1.00E+00","2.07E+05","2.12E+05","1.67E+05","C - Manufacturing","","","no records","0.00E+00","0","Y","1.07E+07","1.00E-02","2.12E+07","5.07E-01","6.00E+00","2.00E+00","4.00E+00","Fundo de Capital de Risco Empreender Mais","Fundo de Capital de Risco Beta Ciencias da Vida","Pathena, SGPS, S.A.","FJR, SGPS, S.A","Daninves, SGPS, S.A.","CGC Centro de Genetica Clinica e Patologia, S.A.","","","","","","","","","","","","","","",""
"MATERA, LDA","508753902","2009","2011","2.50E+05","2.50E+05","1.00E+00","2.80E+05","2.85E+05","1.85E+05","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","3.00E+00","1.00E+00","2.00E+00","FUNDO BETA CIENCIAS DA VIDA FCR","BIOCANT ASSOCIACAO DE TRANSFERENCIA DE TECNOLOGIA","BIOCANT VENTURES LDA","","","","","","","","","","","","","","","","","",""
"EQUIGERMINAL, S.A.","509756638","2011","2012","7.20E+05","7.20E+05","3.00E+00","6.50E+04","7.00E+04","5.13E+04","M - Professional, scientific and technical activities","","","no records","0.00E+00","0","Y","6.50E+04","1.00E+00","7.00E+04","9.29E-01","3.00E+00","2.00E+00","1.00E+00","A2B, SGPS","FCR ISTART I","FCR Beta Ciencias","","","","","","","","","","","","","","","","","",""
"TORBEL, S.A.","500695679","1977","2014","1.32E+06","1.32E+06","1.00E+00","2.29E+05","7.29E+05","2.29E+05","C - Manufacturing","","","no records","0.00E+00","0","N","0.00E+00","5.00E+00","1.46E+05","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR ASK Celta","","","","","","","","","","","","","","","","","","","",""
"ATP- ATLANTICO TRADE PARTNERS - IMPORTACAO E EXPORTACAO DE PRODUTOS ALIMENTARES, LDA","509229697","2010","2011","6.00E+05","6.00E+05","1.00E+00","1.00E+04","2.00E+04","1.00E+04","G - Wholesale and retail trade, repair of motor vehicles and motorcycles","","","no records","0.00E+00","0","N - LLC","0.00E+00","N - LLC","0.00E+00","0.00E+00","1.00E+00","1.00E+00","0.00E+00","FCR ASK Celta","","","","","","","","","","","","","","","","","","","",""
